Comtrade_No,Comtrade_name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
4,Afghanistan,116000000,116000000,50000000,50000000,60000000,70000000,70000000,60000000,50000000,50000000,37300000,31500000,36000000,38000000,37000000,52000000,102000000
8,Albania,84000000,106000000,110000000,39000000,0,578000000,573000000,575000000,525000000,889000000,918000000,1108000000,1300000000,1800000000,2200000000,2300000000,2200000000
12,Algeria,7500000000,7500000000,8300000000,8300000000,9000000000,9000000000,11000000000,11296000000,14701572000,15886000000,17398000000,19100000000,19100000000,19000000000,19000000000,18500000000,21000000000
24,Angola,350000000,350000000,350000000,350000000,597000000,700000000,754000000,1315000000,1373000000,1400000000,1780000000,1800000000,1500000000,1500000000,1600000000,2000000000,2500000000
32,Argentina,7091000000,7187000000,6114000000,5545000000,3911000000,5217000000,6254000000,7595000000,8929376000,9602250000,9703300000,10000000000,10423000000,11592000000,10716000000,11892000000,11408000000
51,Armenia,300000000,287000000,219000000,300000000,355000000,384000000,501000000,605000000,625000000,722000000,770000000,467300000,488000000,422000000,438000000,431000000,427000000
36,Australia,6850000000,7450000000,7500000000,7500000000,7550000000,8000000000,8000000000,9000000000,9000000000,9200000000,9400000000,9200000000,8300000000,8600000000,8500000000,8400000000,9000000000
40,Austria,3850000000,3817000000,3776000000,3863000000,3918000000,3886000000,3976000000,4736000000,4852200000,5202500000,5309200000,4646000000,4254000000,4427000000,4455000000,4385000000,4400000000
31,Azerbaijan,201000000,177000000,200000000,500000000,848000000,1013000000,1428000000,1538000000,1622000000,1692800000,1594900000,1286300000,1279000000,1425000000,1966000000,2296000000,2867000000
48,Bahrain,230000000,156000000,89000000,89000000,67000000,129000000,153000000,191000000,400000000,400000000,438000000,700000000,1200000000,1300000000,1350000000,1350000000,1500000000
50,Bangladesh,1240000000,2085000000,3580000000,5005000000,5000000000,5000000000,5000000000,5100000000,5100000000,5100000000,5000000000,5000000000,13770000000,14690000000,15250000000,16780000000,17000000000
52,Barbados,259000000,253000000,268000000,250000000,298000000,325000000,322000000,320000000,337801000,294184000,316467000,301427000,229000000,223000000,176000000,160000000,160000000
112,Belarus,2035000000,2100000000,1847000000,1803000000,2171000000,2472000000,2731000000,3131000000,3494800000,3820500000,4219000000,4350100000,4531000000,4604000000,4906000000,5057000000,5618000000
56,Belgium,7000000000,7277000000,7150000000,7500000000,6980000000,6550000000,6715000000,7594000000,8192136000,9570990000,6225144000,9403423000,6095000000,6954000000,6280000000,6119000000,6100000000
204,Benin,200000000,200000000,250000000,250000000,250000000,250000000,250000000,250000000,1488883000,1550000000,1500000000,1500000000,1305000000,1460000000,1390000000,1422000000,1396000000
64,Bhutan,150000000,150000000,150000000,160000000,160000000,160000000,170000000,170000000,180000000,180000000,180000000,180000000,200000000,544000000,521000000,570000000,690000000
